,Prospect_Code,Company,Sheet_Number,Sample,Data_Type,Mesh,Sample_ID,Grid_ID,Over_SIMesh,Under_SIMesh,Locality,Location_Accuracy,Geological_Unit_Code,Ph_Ref,Ph_Run,Ph_Num,Country,State,Amg_N,Amg_E,North,East,Latitude,Longitude,RL_Regional,RL_Local,Sampler,Date_Sampled,Sample_Wt,Bulk_Wt,Trap,Catch,Conc_Wt,Min_Occurrence,Lith1,Desc11,Desc12,Desc13,Desc14,AltQual11,AltQual12,AltType11,AltType12,AltInt11,AltInt12,Min_Style11,Min_Style12,Min_Amount11,Min_Amount12,Min_Min11,Min_Min12,Lith2,Desc21,Desc22,Lith3,Desc31,Desc32,Lith_Desc,Comment,Au,Au1,Cu,Pb,Zn,Ag,As,Bi,Mo,Mn,Fe,Ni,Co,Cr,V,Ba,Cd,Sn,Sb,Hg,Te,P,W,Zr,Ti,Mg,Th,U,Pt,Pd,S,Job_No,Tenement_Type,Tenement,Report_Type,Report,Open_File,HasAssayParam,HasLithParam,Duplicate,Associated_Sample_No,TagCharacter,Image_ID,Load_Number,Date_Updated,User_Updating,Update_Status,TS_Release,Spatial_Status,Old_Job,Lab_Code,Job_Date,Alias_Job,Dispatch_No,Location_Code,Description,Date_From,Date_To,geometry,BIMNAME,BIMCODE,BLOCKDESC,BLOCKNO,SHAPE_Leng,SHAPE_Area
640249,CREB,CRA,6561,3274357,SSS,-80#,5049141,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7985998.19000000,226963.650000000,,,-18.197832,138.418665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,24.0,-0.1,1.8,0.4,0.3,390.0,1.95,10.0,10.0,15.0,,,-0.1,,-0.2,,,280.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4198397912442 -18.19634478969947),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640250,CREB,CRA,6561,3274361,SSS,-80#,5049145,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7986734.18000000,227709.640000000,,,-18.191281,138.425811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,11.0,36.0,-0.1,1.7,0.5,-0.2,580.0,2.06,15.0,10.0,25.0,,,0.1,,0.4,,,500.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4269856779781 -18.18979375463021),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640251,CREB,CRA,6561,3274362,SSS,-80#,5049146,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7986761.19000000,227567.640000000,,,-18.191019,138.424473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,9.0,-0.1,1.3,0.3,-0.2,195.0,0.95,5.0,5.0,15.0,,,-0.1,,-0.2,,,150.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4256476892709 -18.18953176310728),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640252,CREB,CRA,6561,3274363,SSS,-80#,5049147,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7987149.19000000,226876.640000000,,,-18.187428,138.417997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,7.0,-0.1,1.2,0.3,-0.2,130.0,0.77,5.0,-5.0,35.0,,,-0.1,,-0.2,,,180.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4191717284503 -18.18594080712285),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640253,CREB,CRA,6561,3274364,SSS,-80#,5049148,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7986654.19000000,228268.650000000,,,-18.192074,138.431081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,17.0,-0.1,1.4,0.4,-0.2,100.0,1.3,10.0,-5.0,20.0,,,-0.1,,0.3,,,230.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4322556319016 -18.19058672154901),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640254,CREB,CRA,6561,3274365,SSS,-80#,5049149,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7986461.19000000,229398.640000000,,,-18.19396,138.44173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,16.0,-0.1,1.6,0.3,-0.2,140.0,1.53,10.0,5.0,15.0,,,-0.1,,0.2,,,260.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4429045406535 -18.19247265433718),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640255,CREB,CRA,6561,3274366,SSS,-80#,5049150,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7986387.19000000,229519.640000000,,,-18.194643,138.442864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,13.0,30.0,-0.1,1.7,0.8,0.2,430.0,2.14,10.0,10.0,10.0,,,-0.1,,0.6,,,380.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.444038534145 -18.1931556465575),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640256,CREB,CRA,6561,3274367,SSS,-80#,5049184,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7987647.19000000,228466.650000000,,,-18.183133,138.433083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,4.0,-0.1,1.0,0.4,-0.2,90.0,0.79,5.0,-5.0,20.0,,,-0.1,,0.2,,,140.0,,,,,,,,,,MMALS93034,EPM,8205,CR,27690,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4342575528642 -18.18164572090944),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640257,CREB,CRA,6561,3274368,SSS,-80#,5049185,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7987952.19000000,228936.640000000,,,-18.180439,138.437563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,3.0,-0.1,0.9,0.5,-0.2,60.0,0.49,-5.0,-5.0,20.0,,,-0.1,,-0.2,,,100.0,,,,,,,,,,MMALS93034,EPM,8205,CR,27690,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4387374912711 -18.17895169715679),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640258,CREB,CRA,6561,3274369,SSS,-80#,5049186,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7988630.19000000,229439.640000000,,,-18.17438,138.442403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.0,17.0,-0.1,1.6,0.5,-0.2,340.0,1.16,10.0,10.0,40.0,,,-0.1,,0.4,,,360.0,,,,,,,,,,MMALS93034,EPM,8205,CR,27690,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4435774037837 -18.17289267559695),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640259,CREB,CRA,6561,3274370,SSS,-80#,5049187,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7987602.19000000,229514.640000000,,,-18.183672,138.442976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,11.0,8.0,-0.1,1.4,0.5,-0.2,95.0,1.21,5.0,-5.0,15.0,,,-0.1,,0.6,,,130.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4441504600175 -18.18218466006127),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640260,CREB,CRA,6561,3274371,SSS,-80#,5049188,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7986421.19000000,229997.640000000,,,-18.194396,138.447384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,8.0,-0.1,1.5,0.4,-0.2,610.0,1.13,5.0,-5.0,15.0,,,-0.1,,0.3,,,120.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4485584884247 -18.19290861938191),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640261,CREB,CRA,6561,3274372,SSS,-80#,5049189,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7986277.19000000,230540.640000000,,,-18.195765,138.452495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,7.0,15.0,-0.1,1.8,0.5,-0.2,1050.0,1.91,10.0,5.0,25.0,,,-0.1,,0.3,,,220.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4536694476937 -18.19427758652418),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640262,CREB,CRA,6561,3274373,SSS,-80#,5049190,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7984439.19000000,233163.650000000,,,-18.212688,138.477036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,34.0,-0.1,2.2,0.3,0.2,860.0,1.9,10.0,10.0,25.0,,,-0.1,,0.2,,,330.0,,,,,,,,,,MMALS93034,EPM,8205,CR,24103,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4782103209288 -18.21120041532989),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640263,CREB,CRA,6561,3274395,SSS,-80#,5049206,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7989067.19000000,232175.640000000,,,-18.170777,138.468305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,4.0,-0.1,0.8,0.3,-0.2,75.0,0.59,-5.0,-5.0,25.0,,,-0.1,,-0.2,,,130.0,,,,,,,,,,MMALS93034,EPM,8205,CR,25331,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4694791272187 -18.16928952293299),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640264,CREB,CRA,6561,3274399,SSS,-80#,5049210,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7988932.19000000,231055.650000000,,,-18.171856,138.457708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,6.0,-0.1,0.8,-0.2,0.3,65.0,0.75,5.0,-5.0,20.0,,,-0.1,,-0.2,,,100.0,,,,,,,,,,MMALS93034,EPM,8205,CR,25331,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4588822377646 -18.17036858589113),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
640265,CREB,CRA,6561,3274400,SSS,-80#,5049211,AMG2,,180,240KM NNW OF MT ISA,50,,,,,AUS,QLD,7989322.19000000,233674.640000000,,,-18.16866,138.482498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,6.0,-0.1,0.8,-0.2,0.4,360.0,1.13,10.0,10.0,20.0,,,-0.1,,-0.2,,,190.0,,,,,,,,,,MMALS93034,EPM,8205,CR,25331,Y,,,,,M,,0,14/12/2015 0:00:00,PA,1,MM0002,,,ALS,10/09/1995,MMALS1249,,BNE,,,,POINT (138.4836719746405 -18.16717243952081),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
