,Prospect_Code,Company,Sheet_Number,Sample,Data_Type,Grid_ID,Sample_ID,Locality,Location_Accuracy,Geological_Unit_Code,Collection_Method,Method_Amount,Ph_Ref,Ph_Run,Ph_Num,Country,State,Amg_N,Amg_E,North,East,Latitude,Longitude,RL_Regional,RL_Local,Sampler,Date_Sampled,Sample_Wt,Min_Occurrence,Lith1,Desc11,Desc12,Desc13,Desc14,AltQual11,AltQual12,AltQual13,AltType11,AltType12,AltType13,AltInt11,AltInt12,AltInt13,Min_Style11,Min_Style12,Min_Style13,Min_Style14,Min_Amount11,Min_Amount12,Min_Amount13,Min_Amount14,Min_Min11,Min_Min12,Min_Min13,Min_Min14,Lith2,Desc21,Desc22,Desc23,Lith_Desc,Occurrence,Lithology_Type_Code,Weathering_Code,Length,Width,Strike,Dip,Dip_Quadrant,Dip_Dir_Az,Comment,Au,Au1,Cu,Pb,Zn,Ag,As,Bi,Mo,Mn,Fe,Ni,Co,Cr,V,Ba,Cd,Sn,Sb,Hg,Te,P,W,Zr,Ti,Mg,Th,U,Pt,Pd,S,Job_No,Tenement_Type,Tenement,Report_Type,Report,Open_File,HasAssayParam,HasLithParam,Duplicate,Associated_Sample_No,TagCharacter,Image_ID,Load_Number,Date_Updated,User_Updating,Update_Status,TS_Release,Spatial_Status,Old_Job,Lab_Code,Job_Date,Alias_Job,Dispatch_No,Location_Code,Description,Date_From,Date_To,geometry,BIMNAME,BIMCODE,BLOCKDESC,BLOCKNO,SHAPE_Leng,SHAPE_Area
330984,NXEC,NXA,6561,3234,RC,AMG2,224664,Elizabeth Creek,50,,TR,,,,,AUS,QLD,7985700.0,234600.0,,,-18.201481909,138.490770639,,,,,,,SLST,QVN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shattered siltstone, minor quartz veining, iron oxides at Elizabeth Creek waterhole",UO,R,,,,,,,,,,,15.0,15.0,80.0,,,,,7300.0,11.7,,,,,,,,,,,,,,,,,,,,,MI0177,EPM,8234,CR,24267,Y,N,N,,,T,,1125.0,23/03/2001 14:07:50,KE,1.0,TS0001,,,ALS,28/07/1992,ALS1636,,TSV,,,,POINT (138.4919447511651 -18.19999425532495),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
330985,NXEC,NXA,6561,3235,RC,AMG2,224665,Elizabeth Creek,50,,TR,,,,,AUS,QLD,7987389.0,234837.0,,,-18.186259977,138.493227913,,,,,,,QZVN,GSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gossany patch in quartz vein, some Cu oxides",UO,V,,,,,,,,,,,1500.0,5100.0,1250.0,,,,,2800.0,24.7,,,,,,,,,,,,,,,,,,,,,MI0177,EPM,8234,CR,24267,Y,N,N,,,T,,1125.0,23/03/2001 14:07:50,KE,1.0,TS0001,,,ALS,28/07/1992,ALS1636,,TSV,,,,POINT (138.494401899876 -18.18477232826728),Normanton,NORM,NORM1878,1878,0.333331578585,0.00694437132991
